"sci_nostopwords";"sci_withstopwords";"web_nostopwords";"web_withstopwords";"task"
0.973193473193473;0.997747747747748;0.940711462450593;0.860613810741688;"C0008778_C0015422"
0.955644313643052;0.915851272015656;0.857012750455373;0.850310559006211;"C0221971_C0018120"
0.998484848484849;0.993265993265993;0.97718253968254;0.96969696969697;"C0324740_C0027960"
1;1;0.987878787878788;0.916666666666667;"C0333463_C0011389"
0.982258064516129;0.981914893617021;0.965686274509804;0.89426523297491;"C0008778_C0015422"
0.944618055555556;0.930028129395218;0.849060222477944;0.805353602115003;"C0221971_C0018120"
0.99905303030303;0.991228070175439;0.92125;0.945192307692308;"C0324740_C0027960"
1;0.99146110056926;0.988095238095238;0.923809523809524;"C0333463_C0011389"
0.984320557491289;0.976190476190476;0.981617647058824;0.947619047619048;"C0008778_C0015422"
0.93909938504265;0.921666666666667;0.9070813771518;0.89269717624148;"C0221971_C0018120"
1;0.997685185185185;0.971383147853736;0.919191919191919;"C0324740_C0027960"
1;1;0.995600251414205;0.953654188948307;"C0333463_C0011389"
0.985416666666667;0.942307692307692;0.994152046783626;0.952861952861953;"C0008778_C0015422"
0.948415492957746;0.947250051114292;0.913424657534247;0.875692520775623;"C0221971_C0018120"
0.998998998998999;0.987654320987654;0.96;0.936904761904762;"C0324740_C0027960"
1;1;0.977554179566563;0.949624060150376;"C0333463_C0011389"
0.977142857142857;0.975925925925926;0.936111111111111;0.956937799043062;"C0008778_C0015422"
0.915685896199113;0.968067226890756;0.865922809584781;0.877180978446801;"C0221971_C0018120"
0.996710526315789;0.993761140819964;0.986486486486487;0.955505279034691;"C0324740_C0027960"
1;1;0.983500717360115;0.97037037037037;"C0333463_C0011389"
0.983589743589744;0.981818181818182;0.990277777777778;0.975641025641026;"C0008778_C0015422"
0.9684637068358;0.943312434691745;0.928774928774929;0.781724991162955;"C0221971_C0018120"
0.990783410138249;0.991694352159468;0.944705882352941;0.897360703812317;"C0324740_C0027960"
1;1;0.986070381231672;0.970606629143214;"C0333463_C0011389"
1;0.974358974358974;0.996376811594203;0.855172413793103;"C0008778_C0015422"
0.951505016722408;0.944202898550725;0.880716463414634;0.868985507246377;"C0221971_C0018120"
0.998888888888889;0.998455598455599;0.985142857142857;0.935222672064777;"C0324740_C0027960"
0.999385749385749;0.998366013071895;0.977823977823978;0.939189189189189;"C0333463_C0011389"
0.996983408748115;0.953216374269006;0.978325123152709;0.920731707317073;"C0008778_C0015422"
0.964313725490196;0.93948717948718;0.906884057971014;0.877250692520776;"C0221971_C0018120"
1;0.992063492063492;0.952380952380952;0.862139917695473;"C0324740_C0027960"
1;1;0.97593984962406;0.957644628099174;"C0333463_C0011389"
0.995789473684211;0.982539682539683;0.978395061728395;0.903820816864295;"C0008778_C0015422"
0.954841178721776;0.956794425087108;0.881278538812785;0.852611940298508;"C0221971_C0018120"
1;0.996913580246914;0.977380952380952;0.984848484848485;"C0324740_C0027960"
1;0.997542997542997;0.974305555555556;0.972005208333333;"C0333463_C0011389"
0.994172494172494;0.981481481481481;0.960248447204969;0.880952380952381;"C0008778_C0015422"
0.949140271493213;0.936034115138593;0.914074074074074;0.813666666666667;"C0221971_C0018120"
1;0.995279307631786;0.963382737576286;0.948717948717949;"C0324740_C0027960"
1;1;0.998989898989899;0.980519480519481;"C0333463_C0011389"
0.983268983268983;0.977730646871686;0.971471471471471;0.81951871657754;"C0008778_C0015422"
0.956434108527132;0.97945205479452;0.88836291913215;0.815004659832246;"C0221971_C0018120"
0.998716302952503;0.977941176470588;0.981333333333333;0.981995498874719;"C0324740_C0027960"
1;0.997242647058824;0.995731707317073;0.943488943488944;"C0333463_C0011389"
0.971953578336557;0.973856209150327;0.989583333333333;0.969444444444444;"C0008778_C0015422"
0.972275132275132;0.9304920431681;0.910780098280098;0.837209302325581;"C0221971_C0018120"
1;0.992248062015504;0.973949579831933;0.917355371900826;"C0324740_C0027960"
1;1;0.952743902439024;0.97724039829303;"C0333463_C0011389"
0.977513227513227;0.998498498498498;0.951149425287356;0.988005997001499;"C0008778_C0015422"
0.978618421052632;0.938282647584973;0.921769268856247;0.866615737203972;"C0221971_C0018120"
0.998044965786901;1;0.963427377220481;0.94464609800363;"C0324740_C0027960"
1;1;0.980392156862745;0.938508064516129;"C0333463_C0011389"
0.99537037037037;1;0.952380952380952;0.934491978609626;"C0008778_C0015422"
0.947916666666667;0.957222222222222;0.875492957746479;0.848261327713383;"C0221971_C0018120"
0.996662958843159;0.996415770609319;0.953281423804227;0.9375;"C0324740_C0027960"
1;0.995238095238095;0.951248513674197;0.961860465116279;"C0333463_C0011389"
0.991666666666667;0.963333333333333;0.998251748251748;0.922008547008547;"C0008778_C0015422"
0.9675685693106;0.936454849498328;0.902575820523473;0.833333333333333;"C0221971_C0018120"
1;0.999245852187029;0.95279307631786;0.945238095238095;"C0324740_C0027960"
1;1;0.966588966588967;0.964102564102564;"C0333463_C0011389"
